timestamp,x,y,z
2025-03-18 15:55:28.266240+00:00,-8.61,7.63,-0.12
2025-03-18 15:35:49.314890+00:00,-0.31,0.24,0.12
2025-03-18 15:36:59.474042+00:00,2.5,-0.06,0.92
2025-03-18 15:56:04.358019+00:00,0.12,0.37,-0.06
2025-03-18 15:54:56.197109+00:00,75.13,-256.23,322.08
2025-03-18 15:36:45.530570+00:00,-0.31,-1.04,-2.56
2025-03-18 15:50:35.756494+00:00,0.12,0.12,0.06
2025-03-18 15:35:57.326005+00:00,-0.18,0.12,-0.06
2025-03-18 15:49:59.606329+00:00,-0.12,0.12,0.18
2025-03-18 15:55:52.328775+00:00,0.06,0.31,-0.12
2025-03-18 15:41:46.281709+00:00,1.95,0.06,-0.37
2025-03-18 15:47:39.064315+00:00,0.31,0.61,-0.06
2025-03-18 15:54:20.088713+00:00,312.68,-29.24,-109.62
2025-03-18 15:57:46.609659+00:00,0.0,0.24,0.0
2025-03-18 15:52:37.854145+00:00,150.15,30.94,5.07
2025-03-18 15:39:13.812690+00:00,1.28,-0.55,0.0
2025-03-18 15:47:09.046678+00:00,-10.31,105.16,-199.77
2025-03-18 15:48:43.256618+00:00,0.18,0.12,0.0
2025-03-18 15:50:25.478977+00:00,0.0,0.24,0.0
2025-03-18 15:38:13.700111+00:00,6.53,-4.88,0.31
2025-03-18 15:35:01.478060+00:00,-0.79,0.24,0.0
2025-03-18 15:56:38.443627+00:00,0.24,-1.1,0.06
2025-03-18 15:51:41.739053+00:00,-27.04,62.87,-176.27
2025-03-18 15:36:39.473560+00:00,-1.89,0.85,1.71
2025-03-18 15:50:21.559362+00:00,0.06,0.18,0.0
2025-03-18 15:35:19.311710+00:00,0.24,0.12,0.18
2025-03-18 15:34:45.136118+00:00,0.79,0.79,0.24
2025-03-18 15:37:09.500315+00:00,23.07,-4.58,12.21
2025-03-18 15:52:09.796379+00:00,-122.31,-110.17,581.79
2025-03-18 15:33:35.068054+00:00,1.77,-1.1,0.18
2025-03-18 15:46:41.193878+00:00,2.81,1.46,0.49
2025-03-18 15:52:53.931609+00:00,47.42,-6.84,495.0
2025-03-18 15:37:23.607831+00:00,235.78,167.05,-76.42
2025-03-18 15:50:07.633509+00:00,0.06,0.06,0.06
2025-03-18 15:47:31.062389+00:00,-28.2,-12.51,2.01
2025-03-18 15:41:52.527551+00:00,0.0,0.49,-0.12
2025-03-18 15:53:11.955811+00:00,-84.23,-194.4,333.07
2025-03-18 15:56:20.394854+00:00,0.18,-0.06,0.0
2025-03-18 15:34:51.527587+00:00,0.0,0.12,0.31
2025-03-18 15:47:19.081039+00:00,29.05,154.66,-287.54
2025-03-18 15:35:05.283619+00:00,-0.18,0.18,0.24
2025-03-18 15:48:09.137315+00:00,5.74,15.08,-3.3
2025-03-18 15:51:57.818172+00:00,2.99,-73.12,60.73
2025-03-18 15:38:47.902908+00:00,-0.92,0.49,-0.79
2025-03-18 15:36:06.415331+00:00,0.43,0.0,-0.18
2025-03-18 15:40:05.007143+00:00,0.31,0.37,0.12
2025-03-18 15:41:28.157957+00:00,6.71,-0.43,-0.55
