x,y,z,timestamp
0.0,0.12,0.06,1742283307.4193354
0.12,0.18,0.12,1742283309.157746
0.12,0.18,0.06,1742283311.0687575
0.18,0.12,0.12,1742283313.1501865
0.12,0.12,0.06,1742283315.106431
0.06,0.12,0.18,1742283317.1415703
0.0,0.12,0.06,1742283319.1903586
0.12,0.06,0.06,1742283321.1162324
0.12,0.18,0.06,1742283323.1837754
0.31,0.12,0.06,1742283325.4404645
0.12,0.12,0.06,1742283327.1779811
0.18,0.12,0.06,1742283329.1072443
0.12,0.12,0.06,1742283331.1467986
0.37,0.12,0.06,1742283333.1073174
0.06,0.18,0.06,1742283335.269092
0.06,0.12,0.06,1742283337.23222
0.12,0.12,0.06,1742283339.160154
0.12,0.12,0.06,1742283341.1469717
0.24,0.12,0.06,1742283343.563891
0.18,0.18,0.06,1742283345.2000902
0.12,0.18,0.06,1742283347.2479131
0.18,0.18,0.06,1742283349.194159
0.31,0.18,0.12,1742283351.156848
0.06,0.18,0.0,1742283353.295065
0.67,0.18,0.18,1742283355.2354321
-0.31,0.06,0.0,1742283357.2839417
0.37,0.12,0.12,1742283359.2291481
0.37,0.18,0.12,1742283361.5081716
0.37,0.18,0.12,1742283363.3270824
0.55,0.18,0.24,1742283365.2705867
-0.06,0.06,0.06,1742283367.3249066
0.0,0.12,0.06,1742283369.216724
-0.06,0.24,0.0,1742283371.231437
0.79,-0.31,0.37,1742283373.2577558
0.18,0.18,0.0,1742283375.3078003
0.06,0.24,0.06,1742283377.3378444
0.18,0.18,0.06,1742283379.606666
0.12,0.18,0.0,1742283381.2619798
0.18,0.12,0.06,1742283383.295799
0.12,0.12,0.12,1742283385.3400452
0.0,0.18,0.06,1742283387.3942752
0.12,0.12,0.0,1742283389.3351884
0.06,0.18,0.06,1742283391.2668288
0.12,0.18,0.06,1742283393.327278
0.06,0.12,0.06,1742283395.3016527
0.18,0.12,0.06,1742283397.6311913
0.12,0.12,0.06,1742283399.289411
0.12,0.12,0.06,1742283401.3174462
0.06,0.18,0.06,1742283403.3630908
0.12,0.18,0.06,1742283405.410638
0.06,0.18,0.12,1742283408.7032664
10.07,2.5,0.98,1742283409.4040515
0.37,0.24,0.12,1742283411.3500977
0.18,0.12,0.06,1742283413.3978407
0.12,0.18,0.06,1742283415.702828
0.12,0.12,0.06,1742283417.3914845
0.24,0.18,0.18,1742283419.4404175
0.12,0.24,0.06,1742283421.3859084
0.12,0.18,0.06,1742283423.346205
0.12,0.12,0.12,1742283425.380682
0.06,0.18,0.12,1742283427.427141
0.18,0.18,0.06,1742283429.4701097
0.12,0.12,0.06,1742283431.3671744
0.18,0.12,0.12,1742283433.6732175
0.06,0.18,0.06,1742283435.4039385
-0.98,-0.24,0.0,1742283437.4621627
0.0,0.18,-0.06,1742283439.3978498
-0.55,0.06,-0.24,1742283441.5585747
0.31,0.18,0.12,1742283443.5060575
0.06,0.12,0.06,1742283445.448682
0.06,0.12,0.0,1742283447.4364133
0.24,0.37,0.0,1742283449.4374754
0.37,0.18,0.31,1742283451.7188098
0.12,0.18,0.06,1742283453.5389824
-0.06,0.31,0.18,1742283455.484222
0.18,0.18,0.06,1742283457.559158
0.43,0.0,0.24,1742283459.4383597
0.06,0.12,0.06,1742283461.526304
15.5,0.12,0.06,1742283463.474227
0.31,0.24,0.06,1742283465.5203285
0.24,0.18,0.12,1742283467.5680501
1.46,0.31,0.37,1742283469.757105
-0.24,0.12,0.0,1742283471.6652892
0.37,0.18,0.06,1742283473.476765
-0.43,0.0,0.0,1742283475.484021
0.43,0.24,0.06,1742283477.5470479
0.12,0.18,0.06,1742283479.5510628
0.06,0.12,0.06,1742283481.5173843
0.12,0.18,0.06,1742283483.5423458
0.12,0.18,0.06,1742283485.517862
0.18,0.12,0.06,1742283487.9466343
0.18,0.18,0.06,1742283489.5845327
0.06,0.12,0.06,1742283491.531525
0.06,0.12,0.12,1742283493.5184166
-0.61,0.06,0.06,1742283495.5732758
-0.06,0.18,0.06,1742283497.5663323
-0.12,0.12,0.06,1742283499.6412604
0.12,0.12,0.06,1742283501.6271372
0.18,0.12,0.0,1742283503.6450262
0.12,0.18,0.06,1742283505.890253
0.18,0.12,0.06,1742283507.6078973
-0.12,0.31,0.06,1742283509.6555922
0.18,0.0,0.24,1742283511.5938652
0.12,0.12,0.06,1742283513.662101
0.06,0.18,0.06,1742283515.7981527
0.0,0.12,0.12,1742283517.642029
0.12,0.18,0.06,1742283519.6010094
0.06,0.12,0.06,1742283521.8578033
0.24,0.18,0.06,1742283523.9092076
0.06,0.18,0.06,1742283525.6030734
0.12,0.12,0.06,1742283527.676406
0.12,0.12,0.06,1742283529.6959224
0.06,0.18,0.06,1742283531.6701705
0.12,0.12,0.06,1742283533.6374466
